SEARCH_STRING,DATETIME,TREND_SUM
vpn,2019-05-16T19:56,9557
vpn,2019-05-17T19:56,9830
vpn,2019-05-18T19:56,9977
vpn,2019-05-19T19:56,10143
vpn,2019-05-20T19:56,9585
vpn,2019-05-21T19:56,10111
vpn,2019-05-22T19:56,9607
vpn,2019-05-23T19:56,9786
vpn,2019-05-24T19:56,10159
vpn,2019-05-25T19:56,10009
vpn,2019-05-26T19:56,9802
vpn,2019-05-27T19:56,9458
vpn,2019-05-28T19:56,9753
vpn,2019-05-29T19:56,9983
vpn,2019-05-30T19:56,9870
vpn,2019-05-31T19:56,9924
vpn,2019-06-01T19:56,9703
vpn,2019-06-02T19:56,9842
vpn,2019-06-03T19:56,9892
vpn,2019-06-04T19:56,9908
vpn,2019-06-05T19:56,10258
vpn,2019-06-06T19:56,9597
vpn,2019-06-07T19:56,9530
vpn,2019-06-08T19:56,9874
vpn,2019-06-09T19:56,10003
vpn,2019-06-10T19:56,9763
vpn,2019-06-11T19:56,9878
vpn,2019-06-12T19:56,10238
android vpn,2019-05-16T19:56,11673
android vpn,2019-05-17T19:56,10730
android vpn,2019-05-18T19:56,11608
android vpn,2019-05-19T19:56,10466
android vpn,2019-05-20T19:56,11334
android vpn,2019-05-21T19:56,11363
android vpn,2019-05-22T19:56,11206
android vpn,2019-05-23T19:56,11573
android vpn,2019-05-24T19:56,11370
android vpn,2019-05-25T19:56,10672
android vpn,2019-05-26T19:56,11030
android vpn,2019-05-27T19:56,10843
android vpn,2019-05-28T19:56,11447
android vpn,2019-05-29T19:56,11196
android vpn,2019-05-30T19:56,11068
android vpn,2019-05-31T19:56,11106
android vpn,2019-06-01T19:56,10537
android vpn,2019-06-02T19:56,11235
android vpn,2019-06-03T19:56,11376
android vpn,2019-06-04T19:56,10914
android vpn,2019-06-05T19:56,11598
android vpn,2019-06-06T19:56,11106
android vpn,2019-06-07T19:56,11161
android vpn,2019-06-08T19:56,10543
android vpn,2019-06-09T19:56,10807
android vpn,2019-06-10T19:56,11347
android vpn,2019-06-11T19:56,11508
android vpn,2019-06-12T19:56,10556
mobile vpn,2019-05-16T19:56,9078
mobile vpn,2019-05-17T19:56,8743
mobile vpn,2019-05-18T19:56,9605
mobile vpn,2019-05-19T19:56,9337
mobile vpn,2019-05-20T19:56,9548
mobile vpn,2019-05-21T19:56,9540
mobile vpn,2019-05-22T19:56,9568
mobile vpn,2019-05-23T19:56,9289
mobile vpn,2019-05-24T19:56,9323
mobile vpn,2019-05-25T19:56,9222
mobile vpn,2019-05-26T19:56,9754
mobile vpn,2019-05-27T19:56,9053
mobile vpn,2019-05-28T19:56,8861
mobile vpn,2019-05-29T19:56,9279
mobile vpn,2019-05-30T19:56,9405
mobile vpn,2019-05-31T19:56,9687
mobile vpn,2019-06-01T19:56,9016
mobile vpn,2019-06-02T19:56,8870
mobile vpn,2019-06-03T19:56,9486
mobile vpn,2019-06-04T19:56,9056
mobile vpn,2019-06-05T19:56,8887
mobile vpn,2019-06-06T19:56,9047
mobile vpn,2019-06-07T19:56,9265
mobile vpn,2019-06-08T19:56,8977
mobile vpn,2019-06-09T19:56,9602
mobile vpn,2019-06-10T19:56,9822
mobile vpn,2019-06-11T19:56,8980
mobile vpn,2019-06-12T19:56,8805
vpn,2019-06-13T19:56,9856
android vpn,2019-06-13T19:56,11087
mobile vpn,2019-06-13T19:56,9281
vpn,2019-06-15T19:56,9451
android vpn,2019-06-15T19:56,11731
mobile vpn,2019-06-15T19:56,8717
vpn,2019-06-15T19:56,9539
android vpn,2019-06-15T19:56,11256
mobile vpn,2019-06-15T19:56,8727
vpn,2019-06-16T19:56,9667
android vpn,2019-06-16T19:56,10578
mobile vpn,2019-06-16T19:56,9089
vpn,2019-06-17T19:56,9142
android vpn,2019-06-17T19:56,11836
mobile vpn,2019-06-17T19:56,7369
vpn,2019-06-18T19:56,9122
android vpn,2019-06-18T19:56,10106
mobile vpn,2019-06-18T19:56,8732
vpn,2019-06-19T19:56,10201
android vpn,2019-06-19T19:56,9825
mobile vpn,2019-06-19T19:56,8510
